,label,teks,teks_clean,teks_clean_slang,teks_clean_slang_stem
10,0,Lucu ya minyak di naikin setelah itu bagi bagi bansos  bantu org yg susah kerna minyak naik ga usah naikin harga minyak tentu masyarakat tidak akan susah kendalikan harga kebutuhan pokok kalo minyak naik harga diri langsung turun karna jdi miskin kebutuhan pokok meloncat,lucu ya minyak di naikin setelah itu bagi bagi bansos  bantu org yg susah kerna minyak naik ga usah naikin harga minyak tentu masyarakat tidak akan susah kendalikan harga kebutuhan pokok kalo minyak naik harga diri langsung turun karna jdi miskin kebutuhan pokok meloncat,lucu minyak naikin bansos bantu orang susah kerna minyak naik tidak usah naikin harga minyak masyarakat tidak susah kendalikan harga kebutuhan pokok minyak naik harga diri langsung turun miskin kebutuhan pokok meloncat,lucu minyak naikin bansos bantu orang susah kerna minyak naik tidak usah naikin harga minyak masyarakat tidak susah kendali harga butuh pokok minyak naik harga diri langsung turun miskin butuh pokok loncat
11,0,Minyak naik jokowi turun,minyak naik jokowi turun,minyak naik jokowi turun,minyak naik jokowi turun
12,0,Bener nih kayaknya pas single gaji masih ada sisa lumayan banyak dan cukup cukup aja buat nongkrong sana sini tapi abis nikah beli minyak goreng dan beras aja nyari yg promo  beli cabe bawang merah dan bawang putih berasa mahal karena harga lagi pada naik hahaha,bener nih kayaknya pas single gaji masih ada sisa lumayan banyak dan cukup cukup aja buat nongkrong sana sini tapi abis nikah beli minyak goreng dan beras aja nyari yg promo  beli cabe bawang merah dan bawang putih berasa mahal karena harga lagi pada naik hahaha,benar nih kayaknya pas single gaji sisa lumayan banyak cukup cukup nongkrong habis nikah beli minyak goreng beras mencari promo beli cabe bawang merah bawang putih berasa mahal harga naik hahaha,benar nih kayak pas single gaji sisa lumayan banyak cukup cukup nongkrong habis nikah beli minyak goreng beras cari promo beli cabe bawang merah bawang putih asa mahal harga naik hahaha
13,0,Bbm mahal Telor mahal Minyak mahal Pajak naik Masih mau 3 periode,bbm mahal telor mahal minyak mahal pajak naik masih mau  periode,bbm mahal telor mahal minyak mahal pajak naik mau periode,bbm mahal telor mahal minyak mahal pajak naik mau periode
14,0,Bisa ga sehusahaiin ga usah naik  bbm pak?? Bbm stabil aja minyak awet harganya telur harganya jg melambung ga turun Lah coba nanti klo bbm naik ?? Pengusaha pasti beralasan ini itu untuk naikin harga?? Masih banyak rakyat bapak yang kurang mampu diluar sana pak!!,bisa ga sehusahaiin ga usah naik  bbm pak   bbm stabil aja minyak awet harganya telur harganya jg melambung ga turun lah coba nanti klo bbm naik    pengusaha pasti beralasan ini itu untuk naikin harga   masih banyak rakyat bapak yang kurang mampu diluar sana pak,tidak sehusahaiin tidak usah naik bbm pak bbm stabil minyak awet harganya telur harganya melambung tidak turun coba bbm naik pengusaha beralasan naikin harga banyak rakyat bapak kurang mampu diluar pak,tidak sehusahaiin tidak usah naik bbm pak bbm stabil minyak awet harga telur harga lambung tidak turun coba bbm naik usaha alas naikin harga banyak rakyat bapak kurang mampu luar pak
15,1,Subsidi BBM setiap tahun naik jika harga minyak dunia turun apa iya subsidi tetap naik?,subsidi bbm setiap tahun naik jika harga minyak dunia turun apa iya subsidi tetap naik ,subsidi bbm tahun naik harga minyak dunia turun iya subsidi tetap naik,subsidi bbm tahun naik harga minyak dunia turun iya subsidi tetap naik
16,1,Pada saat harga minyak dunia naik kenapa anda meminta pemerintah menaikkan harga BBM ?,pada saat harga minyak dunia naik kenapa anda meminta pemerintah menaikkan harga bbm  ,harga minyak dunia naik meminta pemerintah menaikkan harga bbm,harga minyak dunia naik minta perintah naik harga bbm
17,1,Semua harga BBM itu melalui subsidi dan tidak ada melalui mekanisme pasar kalo Pertamax murni mekanisme pasar harganya bisa 100rb per liter belum lg jika US Dollar naik tembus 20rb nanti Kalo ga percaya liat aja harga minyak dunia berapa? Masih kuat ga tuh kantong recehan rupiahny,semua harga bbm itu melalui subsidi dan tidak ada melalui mekanisme pasar kalo pertamax murni mekanisme pasar harganya bisa  per liter belum lg jika us dollar naik tembus  nanti kalo ga percaya liat aja harga minyak dunia berapa  masih kuat ga tuh kantong recehan rupiahny,semua harga bbm melalui subsidi tidak melalui mekanisme pasar pertamax murni mekanisme pasar harganya per liter belum us dollar naik tembus tidak percaya lihat harga minyak dunia berapa kuat tidak tuh kantong recehan rupiahny,semua harga bbm lalu subsidi tidak lalu mekanisme pasar pertamax murni mekanisme pasar harga per liter belum us dollar naik tembus tidak percaya lihat harga minyak dunia berapa kuat tidak tuh kantong receh rupiahny
18,0,BBM naik listrik naik elpiji naik minyak goreng naik membisu Bersama wong cilik di bagian mana?,bbm naik listrik naik elpiji naik minyak goreng naik membisu bersama wong cilik di bagian mana ,bbm naik listrik naik elpiji naik minyak goreng naik membisu bersama wong cilik bagian mana,bbm naik listrik naik elpiji naik minyak goreng naik bisu sama wong cilik bagi mana
19,1,BBM sebentar lagi naik! Begitulah informasi yang beredar Berbagai alasan untuk menaikkan harga bahan bakar minyak dikemukakan oleh pemerintah dari membengkaknya subsidi sampai alasan kenaikan harga minyak mentah,bbm sebentar lagi naik begitulah informasi yang beredar berbagai alasan untuk menaikkan harga bahan bakar minyak dikemukakan oleh pemerintah dari membengkaknya subsidi sampai alasan kenaikan harga minyak mentah,bbm sebentar naik begitulah informasi beredar berbagai alasan menaikkan harga bahan bakar minyak dikemukakan pemerintah membengkaknya subsidi alasan kenaikan harga minyak mentah,bbm sebentar naik begitu informasi edar bagai alas naik harga bahan bakar minyak muka perintah bengkak subsidi alas naik harga minyak mentah
21,0,Katanya mekanisme pasar harga minyak dunia lagi turun malah di naikkin harga minyak dunia naik lagi ikut dinaikkin lagi harga minyak dunia turun bbm di sini gk turun mekanisme pasar macam apa itu? ,katanya mekanisme pasar harga minyak dunia lagi turun malah di naikkin harga minyak dunia naik lagi ikut dinaikkin lagi harga minyak dunia turun bbm di sini gk turun mekanisme pasar macam apa itu  ,katanya mekanisme pasar harga minyak dunia turun malah naikkin harga minyak dunia naik ikut dinaikkin harga minyak dunia turun bbm tidak turun mekanisme pasar macam,kata mekanisme pasar harga minyak dunia turun malah naikkin harga minyak dunia naik ikut dinaikkin harga minyak dunia turun bbm tidak turun mekanisme pasar macam
22,0,Kalau mau fair audit dulu pertamina dasarnya apa bikin batas atas dan batas bawah harga BBM?? Harga minyak dunia naik nilang tekorharga minyak dunia turun diem2 aja,kalau mau fair audit dulu pertamina dasarnya apa bikin batas atas dan batas bawah harga bbm   harga minyak dunia naik nilang tekorharga minyak dunia turun  aja,mau fair audit dulu pertamina dasarnya batas atas batas bawah harga bbm harga minyak dunia naik nilang tekorharga minyak dunia turun,mau fair audit dulu pertamina dasar batas atas batas bawah harga bbm harga minyak dunia naik nilang tekorharga minyak dunia turun
23,0,Harga minyak dunia naik harga bbm naik = negara subsidi rakyat Harga minyak dunia turun harga bbm tetep = rakyat subsidi negaraSudah biasa,harga minyak dunia naik harga bbm naik  negara subsidi rakyat harga minyak dunia turun harga bbm tetep  rakyat subsidi negarasudah biasa,harga minyak dunia naik harga bbm naik negara subsidi rakyat harga minyak dunia turun harga bbm tetap rakyat subsidi negarasudah biasa,harga minyak dunia naik harga bbm naik negara subsidi rakyat harga minyak dunia turun harga bbm tetap rakyat subsidi negarasudah biasa
24,0,Aduh minyak naik pasti semua harga melonjak gimana sih cara berpikirnya,aduh minyak naik pasti semua harga melonjak gimana sih cara berpikirnya,aduh minyak naik semua harga melonjak sih cara berpikirnya,aduh minyak naik semua harga lonjak sih cara pikir
25,0,Saat minyak dunia turun anehnya dinegara konoha ini malah harga BBM pada naik Ketika jd oposisi bukan main hebat janjinya stlh berkuasa malah gak lbh baik lbh berantakan,saat minyak dunia turun anehnya dinegara konoha ini malah harga bbm pada naik ketika jd oposisi bukan main hebat janjinya stlh berkuasa malah gak lbh baik lbh berantakan,minyak dunia turun anehnya dinegara konoha malah harga bbm naik oposisi bukan main hebat janjinya stlh berkuasa malah tidak lebih baik lebih berantakan,minyak dunia turun aneh negara konoha malah harga bbm naik oposisi bukan main hebat janji stlh kuasa malah tidak lebih baik lebih beranta
26,0,Habis minyak goreng terus ini telor ayam habis ini bahan bakar minyak mau apa lagi coba yg naik?,habis minyak goreng terus ini telor ayam habis ini bahan bakar minyak mau apa lagi coba yg naik ,habis minyak goreng terus telor ayam habis bahan bakar minyak mau coba naik,habis minyak goreng terus telor ayam habis bahan bakar minyak mau coba naik
27,0,baru nyadar dah gua kalo minyak indomie ayam bawang makin dikit padahal harganya naik  demi dah kata gua mah kagak ngapa-ngapa itu harga lo naikin asal minyaknya jangan lo kurangin ,baru nyadar dah gua kalo minyak indomie ayam bawang makin dikit padahal harganya naik  demi dah kata gua mah kagak ngapangapa itu harga lo naikin asal minyaknya jangan lo kurangin ,baru menyadar deh gua minyak indomie ayam bawang makin dikit padahal harganya naik deh kata gua mah tidak ngapangapa harga lo naikin asal minyaknya jangan lo kurangi,baru sadar deh gua minyak indomie ayam bawang makin dikit padahal harga naik deh kata gua mah tidak ngapangapa harga lo naikin asal minyak jangan lo kurang
28,0,Dari langkanya minyak goreng sekrang harga BBM yang naik duh pusing,dari langkanya minyak goreng sekrang harga bbm yang naik duh pusing,langkanya minyak goreng sekarang harga bbm naik duh pusing,langka minyak goreng sekarang harga bbm naik duh pusing
29,0,Padahal katanya minyak bumi lagi turun kok ini malah mau naik,padahal katanya minyak bumi lagi turun kok ini malah mau naik,padahal katanya minyak bumi turun kok malah mau naik,padahal kata minyak bumi turun kok malah mau naik
30,0,Minyak dunia turun? BBM kok malah naik?!,minyak dunia turun  bbm kok malah naik ,minyak dunia turun bbm kok malah naik,minyak dunia turun bbm kok malah naik
31,1,Cukup berat badan aja yng naik BBM jangan sampe naik Wahai bapak bapak pemerintah berat badan aja udah berat jngan kau tambahi beban beban yg lain Menolak segala kenaikan harga Bahan Bakar Minyak,cukup berat badan aja yng naik bbm jangan sampe naik wahai bapak bapak pemerintah berat badan aja udah berat jngan kau tambahi beban beban yg lain menolak segala kenaikan harga bahan bakar minyak,cukup berat badan naik bbm jangan naik wahai bapak bapak pemerintah berat badan sudah berat jangan tambahi beban beban menolak segala kenaikan harga bahan bakar minyak,cukup berat badan naik bbm jangan naik wahai bapak bapak perintah berat badan sudah berat jangan tambah beban beban tolak segala naik harga bahan bakar minyak
32,0,Kalian bawa ke mana hasil minyak mu hingga kau tega naik kan Harga Tanpa memikirkan rakyat kecil mu,kalian bawa ke mana hasil minyak mu hingga kau tega naik kan harga tanpa memikirkan rakyat kecil mu,kalian bawa mana hasil minyak mu hingga tega naik kan harga memikirkan rakyat kecil mu,kalian bawa mana hasil minyak mu hingga tega naik kan harga pikir rakyat kecil mu
33,0,Harga minyak tanah naik sehingga dapat memicu harga BBM naik,harga minyak tanah naik sehingga dapat memicu harga bbm naik,harga minyak tanah naik memicu harga bbm naik,harga minyak tanah naik picu harga bbm naik
34,0,Setelah harga minyak naik harga BBM juga ikut naik? Ya ga mampu toh,setelah harga minyak naik harga bbm juga ikut naik  ya ga mampu toh,harga minyak naik harga bbm ikut naik tidak mampu,harga minyak naik harga bbm ikut naik tidak mampu
35,1,Ya berarti harga minyak dunia ga se naik sekarang Logika gitu aja ga ngerti cil,ya berarti harga minyak dunia ga se naik sekarang logika gitu aja ga ngerti cil,berarti harga minyak dunia tidak se naik sekarang logika tidak mengerti cil,arti harga minyak dunia tidak se naik sekarang logika tidak erti cil
36,1,Eh tapi setelah subsidi dan kompensasi naik kok harga BBM tetap naik ya? Eh tapi skrg harga minyak mentah global lg turun kok harga BBM ga turun ya? Jd sebenarnya realisasi subsidi dan kompensasi sejak 1 Jan 2022 sampai skrg sdh brp Rp kah?,eh tapi setelah subsidi dan kompensasi naik kok harga bbm tetap naik ya  eh tapi skrg harga minyak mentah global lg turun kok harga bbm ga turun ya  jd sebenarnya realisasi subsidi dan kompensasi sejak  jan  sampai skrg sdh brp rp kah ,eh subsidi kompensasi naik kok harga bbm tetap naik eh sekarang harga minyak mentah global turun kok harga bbm tidak turun sebenarnya realisasi subsidi kompensasi sejak jangan sekarang sudah berapa rp,eh subsidi kompensasi naik kok harga bbm tetap naik eh sekarang harga minyak mentah global turun kok harga bbm tidak turun benar realisasi subsidi kompensasi sejak jangan sekarang sudah berapa rp
37,0,Dari minyak goreng telor smpai BBMnaik Harga akibatnya Harga Diri  Pemerintah Menurun,dari minyak goreng telor smpai bbmnaik harga akibatnya harga diri  pemerintah menurun,minyak goreng telor bbmnaik harga akibatnya harga diri pemerintah menurun,minyak goreng telor bbmnaik harga akibat harga diri perintah turun
38,1,Kalo harga minyak naik yakin dan percaya dah bahan pokok juga melambung,kalo harga minyak naik yakin dan percaya dah bahan pokok juga melambung,harga minyak naik yakin percaya deh bahan pokok melambung,harga minyak naik yakin percaya deh bahan pokok lambung
39,0,Wajar lah harga minyak lagi naik lu mau subsidi terus sampe negara bangkrut kaya sri lanka? Tapi lebih baiknya sih yang naik cuman buat kendaraan pribadi kalo buat kendaraan umum atau truk logistik gitu mendingan subsidi,wajar lah harga minyak lagi naik lu mau subsidi terus sampe negara bangkrut kaya sri lanka  tapi lebih baiknya sih yang naik cuman buat kendaraan pribadi kalo buat kendaraan umum atau truk logistik gitu mendingan subsidi,wajar harga minyak naik lu mau subsidi terus negara bangkrut kaya sri lanka lebih baiknya sih naik cuma kendaraan pribadi kendaraan umum truk logistik mendingan subsidi,wajar harga minyak naik lu mau subsidi terus negara bangkrut kaya sri lanka lebih baik sih naik cuma kendara pribadi kendara umum truk logistik mending subsidi
40,1,Bayangin kalau subsidi BBM dicabut 100% dan harga minyak tiap hari berubah gak bakal ada lagi: Turunkan presiden karena harga naik! Karena BBM itu ya tiap hari naik atau turun dan kalau harga di pasar Indonesia naik ya karena subsidi dikurangi aja,bayangin kalau subsidi bbm dicabut  dan harga minyak tiap hari berubah gak bakal ada lagi turunkan presiden karena harga naik karena bbm itu ya tiap hari naik atau turun dan kalau harga di pasar indonesia naik ya karena subsidi dikurangi aja,bayangkan subsidi bbm dicabut harga minyak tiap hari berubah tidak bakal turunkan presiden harga naik bbm tiap hari naik turun harga pasar indonesia naik subsidi dikurangi,bayang subsidi bbm cabut harga minyak tiap hari ubah tidak bakal turun presiden harga naik bbm tiap hari naik turun harga pasar indonesia naik subsidi rang
41,1,Kilang terbesar ke enam tutup krn kbkrn indiana Dunia mnghdapi ancaman stok minyak yg akan mngakibatkan yg ada akan naik krn ditengah2 permintaan dunia banyak mnghdapi musim dingin yg akan tiba,kilang terbesar ke enam tutup krn kbkrn indiana dunia mnghdapi ancaman stok minyak yg akan mngakibatkan yg ada akan naik krn  permintaan dunia banyak mnghdapi musim dingin yg akan tiba,kilang terbesar enam tutup kbkrn indiana dunia mnghdapi ancaman stok minyak mngakibatkan naik permintaan dunia banyak mnghdapi musim dingin tiba,kilang besar enam tutup kbkrn indiana dunia mnghdapi ancam stok minyak mngakibatkan naik minta dunia banyak mnghdapi musim dingin tiba
42,0,SEMBAKO NAIK MINYAK NAIK MASA BBM JUGA NAIK NASIB RAKYAT??,sembako naik minyak naik masa bbm juga naik nasib rakyat  ,sembako naik minyak naik masa bbm naik nasib rakyat,sembako naik minyak naik masa bbm naik nasib rakyat
43,1,Harga Minyak Melonjak Subsidi Kian Bengkak Saatnya Harga Pertalite Naik,harga minyak melonjak subsidi kian bengkak saatnya harga pertalite naik,harga minyak melonjak subsidi kian bengkak saatnya harga pertalite naik,harga minyak lonjak subsidi kian bengkak saat harga pertalite naik
44,1,Dampak minyak dunia naik Wajar saja kalo bbm naik Beberapa negara bahkan sampai mati total Baca juga berita mancanegara biar tau ini penyebabnya apa?,dampak minyak dunia naik wajar saja kalo bbm naik beberapa negara bahkan sampai mati total baca juga berita mancanegara biar tau ini penyebabnya apa ,dampak minyak dunia naik wajar bbm naik beberapa negara bahkan mati total baca berita mancanegara biar tau penyebabnya,dampak minyak dunia naik wajar bbm naik beberapa negara bahkan mati total baca berita mancanegara biar tau sebab
45,1,Jika BBM naik banyak faktor kemungkinan penyebab naiknya harga BBM tersebut salah satunya kasus langkanya minyak goreng kemarin dikarenakan negara Indonesia selama ini mengekspor bahan mentah (kelapa sawit) dan bukan ekspor bahan jadi (kemasan),jika bbm naik banyak faktor kemungkinan penyebab naiknya harga bbm tersebut salah satunya kasus langkanya minyak goreng kemarin dikarenakan negara indonesia selama ini mengekspor bahan mentah kelapa sawit dan bukan ekspor bahan jadi kemasan,bbm naik banyak faktor kemungkinan penyebab naiknya harga bbm tersebut salah satunya kasus langkanya minyak goreng kemarin dikarenakan negara indonesia selama mengekspor bahan mentah kelapa sawit bukan ekspor bahan kemasan,bbm naik banyak faktor mungkin sebab naik harga bbm sebut salah satu kasus langka minyak goreng kemarin karena negara indonesia lama ekspor bahan mentah kelapa sawit bukan ekspor bahan kemas
46,1,Budi Karya Sumadi mengatakan harga avtur tidak naik jika harga bahan bakar minyak (BBM) subsidi naik,budi karya sumadi mengatakan harga avtur tidak naik jika harga bahan bakar minyak bbm subsidi naik,budi karya sumadi mengatakan harga avtur tidak naik harga bahan bakar minyak bbm subsidi naik,budi karya sumadi kata harga avtur tidak naik harga bahan bakar minyak bbm subsidi naik
47,1, gara gara perang rusia sama ukraina sih penyebab awalnya karna barang ngembargo minyak rusia pdhl rusia salah satu produsen minyak terbesar di dunia makannya bisa masuk opec+ soo bukan gara gara era jokowi ya gara gara impact dari perang itu sendiri makannya harga minyak mentah naik , gara gara perang rusia sama ukraina sih penyebab awalnya karna barang ngembargo minyak rusia pdhl rusia salah satu produsen minyak terbesar di dunia makannya bisa masuk opec soo bukan gara gara era jokowi ya gara gara impact dari perang itu sendiri makannya harga minyak mentah naik ,gara gara perang rusia ukraina sih penyebab awalnya barang ngembargo minyak rusia padahal rusia salah satu produsen minyak terbesar dunia makannya masuk opec soo bukan gara gara era jokowi gara gara impact perang sendiri makannya harga minyak mentah naik,gara gara perang rusia ukraina sih sebab awal barang ngembargo minyak rusia padahal rusia salah satu produsen minyak besar dunia makan masuk opec soo bukan gara gara era jokowi gara gara impact perang sendiri makan harga minyak mentah naik
48,0,Minyak naik bensin naik apa apa naik GAJI GAK NAIK,minyak naik bensin naik apa apa naik gaji gak naik,minyak naik bensin naik naik gaji tidak naik,minyak naik bensin naik naik gaji tidak naik
49,1,BBM naik telor mahal minyak mahal telor gulung makin mahal ya Allah sing dipaparin rizki ka jalma leutik karunya budak SD bekel 2 rebu ngan bisa meuli telor gulung hij,bbm naik telor mahal minyak mahal telor gulung makin mahal ya allah sing dipaparin rizki ka jalma leutik karunya budak sd bekel  rebu ngan bisa meuli telor gulung hij,bbm naik telor mahal minyak mahal telor gulung makin mahal allah sing dipaparin rizki kak jalma leutik karunya budak sd bekel rebu ngan meuli telor gulung hij,bbm naik telor mahal minyak mahal telor gulung makin mahal allah sing dipaparin rizki kak jalma leutik karu budak sd bekel rebu ngan meuli telor gulung hij
50,0,Apa harus BBM naik untuk ngurangi Beban APBN? knp gak DPR atau Pemerintah yg d potong Anggaran yg gak faedah BUMN yg gak sehat knp msih d Ada! Dpr mau anggarkn buat kalender ratusan juta apa lbih pnting Trus klo hrga minyak turun knp BBM gak pernah turun,apa harus bbm naik untuk ngurangi beban apbn  knp gak dpr atau pemerintah yg d potong anggaran yg gak faedah bumn yg gak sehat knp msih d ada dpr mau anggarkn buat kalender ratusan juta apa lbih pnting trus klo hrga minyak turun knp bbm gak pernah turun,harus bbm naik ngurangi beban apbn tidak dpr pemerintah potong anggaran tidak faedah bumn tidak sehat dpr mau anggarkn kalender ratusan juta lebih penting terus hrga minyak turun bbm tidak pernah turun,harus bbm naik ngurangi beban apbn tidak dpr perintah potong anggar tidak faedah bumn tidak sehat dpr mau anggarkn kalender ratus juta lebih penting terus hrga minyak turun bbm tidak pernah turun
51,1,dari dulu kalo harga minyak naik trus ongkos naik tp pas turun ongkos tetep wkwkwkkw,dari dulu kalo harga minyak naik trus ongkos naik tp pas turun ongkos tetep wkwkwkkw,dulu harga minyak naik terus ongkos naik pas turun ongkos tetap wkwkwkkw,dulu harga minyak naik terus ongkos naik pas turun ongkos tetap wkwkwkkw
